"Species","n","model","aic","intercept","tssr","tssr2","od","od2"
"DOWO",15109,4,37222.5991766271,-2.10453302232729,-0.699157145287412,NA,NA,NA
"DOWO",15109,5,37224.5531296257,-2.10072599218415,-0.676789518347371,-1.13543667378853,NA,NA
"DOWO",15109,6,37220.1643658903,-2.10246362029772,-0.76868813143452,NA,0.957490707787688,NA
"DOWO",15109,7,37213.2421710271,-2.06716468273361,-0.743135900527236,NA,1.78292144719123,-13.7544448246725
"DOWO",15109,8,37222.1636305741,-2.10250142391691,-0.783827074064228,-0.0415766426684537,0.959278292319665,NA
"DOWO",15109,9,37215.2418701278,-2.06745363314827,-0.74010027000249,0.182325097068973,1.78398994479316,-13.7891706833639
"DUFL",3881,1,9115.46775360014,-0.853196639362232,NA,NA,NA,NA
"DUFL",3881,2,9116.69204696532,-0.855250814649304,NA,NA,-0.580132243952837,NA
"DUFL",3881,3,9102.11077514526,-0.755990882598059,NA,NA,-1.30007660327565,-67.4248805646481
"DUFL",3881,4,9114.83399065965,-0.849979937500765,-0.90901294822097,NA,NA,NA
"DUFL",3881,5,9112.43579747337,-0.796911231118381,-0.517651234957682,-24.4012519572278,NA,NA
"DUFL",3881,6,9115.85757259452,-0.852045083451865,-0.940119140890357,NA,-0.639933448328323,NA
"DUFL",3881,7,9100.55039461371,-0.751039187869054,-1.05934357509982,NA,-1.39671631511896,-68.4384003930898
"DUFL",3881,8,9113.61356030409,-0.799387172576474,-0.560672717749338,-23.9989243455038,-0.592308958132959,NA
"DUFL",3881,9,9097.59949619626,-0.695456613997192,-0.66318056705412,-25.0786232238981,-1.36113087639196,-69.2870620447064
"EABL",3875,1,11989.0873447021,-1.9393624940444,NA,NA,NA,NA
"EABL",3875,2,11987.4680534554,-1.9469962607961,NA,NA,-1.67523722214031,NA
"EABL",3875,3,11987.1109669088,-1.90105358973778,NA,NA,-2.16359443313427,-21.5971713742557
"EABL",3875,4,11971.7843581773,-1.8448714178339,-3.61887029679129,NA,NA,NA
"EABL",3875,5,11973.434524118,-1.82304563162842,-3.26182521172453,-8.55701926166639,NA,NA
"EABL",3875,6,11970.5012653819,-1.85159098197752,-3.59436731089291,NA,-1.59680593564455,NA
"EABL",3875,7,11971.1256216856,-1.81978371618859,-3.49903933932258,NA,-1.81051108842566,-14.5148812142874
"EABL",3875,8,11972.2668161959,-1.83282969099978,-3.3116164450629,-7.07020387973677,-1.56619793379984,NA
"EABL",3875,9,11973.3480591261,-1.82707393361559,-3.60111070765691,2.43675002722774,-1.7820956684192,-13.8463291907557
"EAKI",5289,1,13819.2656234125,-1.8421645957419,NA,NA,NA,NA
"EAKI",5289,2,13818.5594437834,-1.83801446985931,NA,NA,1.21376163407539,NA
"EAKI",5289,3,13816.6844504402,-1.80077461816863,NA,NA,2.02322927307035,-13.8827605141672
"EAKI",5289,4,13816.3899011623,-1.82677792656719,-1.68551450016883,NA,NA,NA
"EAKI",5289,5,13816.1482343541,-1.85863182875915,-2.15894415760686,9.89465834527795,NA,NA
"EAKI",5289,6,13814.9487840728,-1.82104041665004,-1.80728651622355,NA,1.37870038749792,NA
"EAKI",5289,7,13813.0785742183,-1.78448889779269,-1.80593017348876,NA,2.16580372680474,-13.8814351014573
"EAKI",5289,8,13814.4131425025,-1.85512492347457,-2.31637821286829,10.5865236418459,1.4458518468634,NA
"EAKI",5289,9,13812.6560391471,-1.81778634746582,-2.28464055745312,10.2923837342765,2.23194312340755,-13.806477468712
"EAME",3447,1,11979.473428446,-1.06704393807442,NA,NA,NA,NA
"EAME",3447,2,11969.1851338676,-1.09669121142533,NA,NA,-1.34429738980796,NA
"EAME",3447,3,11933.4851979894,-0.992421524013176,NA,NA,-5.50822467817754,-59.450338217795
"EAME",3447,4,11869.0515146475,-1.03621618027297,-4.34707318802887,NA,NA,NA
"EAME",3447,5,11861.9398758177,-1.07972323581012,-4.52968914769822,12.7186077289892,NA,NA
"EAME",3447,6,11863.3302462501,-1.06239643570205,-4.2660305409297,NA,-1.09490871871115,NA
"EAME",3447,7,11850.763266092,-0.988864948497773,-3.79261405278213,NA,-4.12563478331369,-42.9952286337356
"EAME",3447,8,11856.3819508597,-1.10534412007643,-4.44180077130835,12.5927197925506,-1.08163906403749,NA
"EAME",3447,9,11853.3231086526,-1.08703348432925,-4.36230820671759,14.4689738796017,-1.83674520687595,-11.75164530611
"EAPH",2966,1,7547.77578825221,-1.65480476301179,NA,NA,NA,NA
"EAPH",2966,2,7549.4441393421,-1.65501481408482,NA,NA,-0.456555791735444,NA
"EAPH",2966,3,7546.02995770284,-1.61238371455605,NA,NA,0.0788011405761224,-22.4516686690924
"EAPH",2966,4,7528.10410867184,-1.62791098609282,-3.64014683137801,NA,NA,NA
"EAPH",2966,5,7528.03181099488,-1.66944494889813,-3.94414533973417,14.6520595843651,NA,NA
"EAPH",2966,6,7529.91285721941,-1.62823549109849,-3.63009006661693,NA,-0.365784547190506,NA
"EAPH",2966,7,7527.89544181916,-1.59231584792738,-3.51656335697395,NA,0.194039829417776,-19.1992669418843
"EAPH",2966,8,7529.94528214634,-1.66920830553845,-3.91991038760168,14.4246938295701,-0.247412193902207,NA
"EAPH",2966,9,7528.52188388128,-1.60662663813953,-3.63683781890707,7.8930101880219,0.266792694238012,-23.1987935593299
"EASO",80,1,190.799658676217,-1.6482829948548,NA,NA,NA,NA
"EASO",80,2,192.559505128833,-1.62461458759162,NA,NA,1.97565359825419,NA
"EASO",80,3,191.896706065351,-1.27806007238439,NA,NA,-1.88068146006847,-242.083684912902
"EASO",80,4,192.681803344052,-1.68184058146847,1.27089449823203,NA,NA,NA
"EASO",80,5,194.031680428798,-1.61352497292676,6.14870927494817,-54.3004266216991,NA,NA
"EASO",80,6,194.543018263177,-1.6409635905877,0.531142721216764,NA,1.70504356539675,NA
"EASO",80,7,193.805625189522,-1.32726422810618,1.11845817984542,NA,-2.96836844282167,-238.197233709628
"EASO",80,8,195.952756552153,-1.58047499102582,5.21146152756905,-50.4853912469642,1.24264244345566,NA
"EASO",80,9,196.093698961796,-1.2980458646677,29.1786686908688,-388.104246491576,-9.72069199872091,-159.056711098513
"EATO",25482,1,69768.4082915198,-1.2712772567109,NA,NA,NA,NA
"EATO",25482,2,69759.743690982,-1.26034736824817,NA,NA,0.474391009057038,NA
"EATO",25482,3,69761.7465614844,-1.26041125486715,NA,NA,0.467182675251314,-0.085326293326387
